The document id, The normalized weight of the word in the document
392.html, 0.046
393.html, 0.015
397.html, 0.044
419.html, 0.034
426.html, 0.031
445.html, 0.076
433.html, 0.020
434.html, 0.024
435.html, 0.024
083.html, 3.593
232.html, 1.075
243.html, 0.665
437.html, 0.086
002.html, 0.364
283.html, 0.574
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
040.html, 0.274
043.html, 0.017
064.html, 0.161
067.html, 0.302
168.html, 0.313
178.html, 0.344
196.html, 0.566
198.html, 0.451
208.html, 0.274
211.html, 0.349
228.html, 0.655
244.html, 0.090
336.html, 1.098
359.html, 0.242
156.html, 0.569
184.html, 1.224
360.html, 0.079
156.html, 4.612
184.html, 0.734
289.html, 0.097
301.html, 0.224
360.html, 0.047
368.html, 0.279
261.html, 2.976
261.html, 1.488
365.html, 0.114
261.html, 5.037
289.html, 0.297
307.html, 0.041
323.html, 0.349
329.html, 0.381
331.html, 0.099
333.html, 0.140
382.html, 0.052
408.html, 0.676
419.html, 0.430
426.html, 0.388
427.html, 0.628
428.html, 0.188
261.html, 1.191
408.html, 1.407
419.html, 0.745
426.html, 0.673
427.html, 1.306
360.html, 0.473
360.html, 0.236
350.html, 0.833
355.html, 0.124
202.html, 1.980
222.html, 0.592
399.html, 0.502
400.html, 0.510
402.html, 0.492
404.html, 0.489
406.html, 0.489
429.html, 0.166
431.html, 0.164
005.html, 0.102
433.html, 0.051
434.html, 0.036
435.html, 0.049
436.html, 0.031
437.html, 0.029
258.html, 0.258
281.html, 0.822
284.html, 0.626
376.html, 0.061
362.html, 0.619
011.html, 1.597
359.html, 0.242
465.html, 2.874
146.html, 0.351
381.html, 0.209
388.html, 0.330
347.html, 0.276
476.html, 2.553
459.html, 0.337
461.html, 0.621
462.html, 0.571
492.html, 0.547
476.html, 2.553
347.html, 0.276
027.html, 0.116
043.html, 0.017
058.html, 0.098
065.html, 0.663
073.html, 0.521
081.html, 0.607
104.html, 0.219
108.html, 1.139
162.html, 0.254
163.html, 0.146
179.html, 0.032
235.html, 0.048
247.html, 0.090
249.html, 0.023
288.html, 0.153
303.html, 0.023
338.html, 0.010
339.html, 0.011
340.html, 0.011
351.html, 0.043
361.html, 0.011
362.html, 0.013
377.html, 0.011
437.html, 0.086
137.html, 0.686
348.html, 0.127
339.html, 0.263
344.html, 0.125
346.html, 0.114
433.html, 0.025
434.html, 0.015
435.html, 0.015
436.html, 0.037
437.html, 0.035
433.html, 0.061
299.html, 0.437
301.html, 0.559
002.html, 0.035
007.html, 0.030
027.html, 0.025
043.html, 0.010
046.html, 0.198
076.html, 0.048
118.html, 0.034
219.html, 0.212
243.html, 0.032
249.html, 0.049
254.html, 0.084
258.html, 0.049
259.html, 0.094
267.html, 0.056
303.html, 0.025
304.html, 0.024
325.html, 0.044
351.html, 0.009
369.html, 0.011
381.html, 0.030
393.html, 0.040
267.html, 1.184
043.html, 0.134
377.html, 0.084
388.html, 0.330
276.html, 1.206
309.html, 0.253
345.html, 0.130
007.html, 0.056
027.html, 0.048
082.html, 0.107
085.html, 0.440
152.html, 0.098
181.html, 0.040
298.html, 0.037
310.html, 0.089
326.html, 0.093
328.html, 0.193
363.html, 0.050
299.html, 0.437
301.html, 0.559
043.html, 0.100
050.html, 0.721
043.html, 0.100
050.html, 0.721
462.html, 0.761
123.html, 6.367
076.html, 0.071
131.html, 0.945
137.html, 0.098
234.html, 0.052
249.html, 0.074
251.html, 0.117
254.html, 0.126
256.html, 0.101
273.html, 0.141
277.html, 0.076
279.html, 0.084
283.html, 0.082
299.html, 0.062
390.html, 0.149
