The document id, The normalized weight of the word in the document
483.html, 9.673
349.html, 0.969
364.html, 0.097
375.html, 0.128
305.html, 3.869
355.html, 0.124
364.html, 0.097
351.html, 0.197
245.html, 1.148
246.html, 0.603
363.html, 0.093
374.html, 2.000
375.html, 0.085
371.html, 0.312
127.html, 17.753
165.html, 25.150
176.html, 25.150
241.html, 0.443
303.html, 0.105
358.html, 0.517
303.html, 0.175
318.html, 2.758
321.html, 0.810
152.html, 1.079
118.html, 0.235
434.html, 0.024
435.html, 0.024
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
019.html, 1.016
465.html, 5.749
184.html, 0.918
346.html, 0.057
384.html, 0.581
446.html, 0.414
079.html, 3.542
234.html, 0.105
307.html, 0.154
331.html, 0.092
398.html, 0.169
401.html, 0.166
429.html, 0.166
431.html, 0.164
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
147.html, 1.120
101.html, 0.334
223.html, 0.354
258.html, 0.258
260.html, 0.394
002.html, 0.081
243.html, 0.074
246.html, 0.134
258.html, 0.115
267.html, 0.132
269.html, 0.081
333.html, 0.050
339.html, 0.029
385.html, 0.095
459.html, 0.270
466.html, 0.468
472.html, 2.140
492.html, 0.875
498.html, 0.720
454.html, 2.826
458.html, 0.566
462.html, 0.095
465.html, 2.156
466.html, 0.877
474.html, 0.577
492.html, 1.367
498.html, 1.651
027.html, 0.178
419.html, 0.621
426.html, 0.561
435.html, 0.073
393.html, 0.833
186.html, 100.600
301.html, 1.118
465.html, 2.874
119.html, 0.190
388.html, 0.330
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
007.html, 0.155
043.html, 0.050
184.html, 0.918
386.html, 0.382
355.html, 0.247
359.html, 0.121
376.html, 0.122
434.html, 0.073
348.html, 1.273
363.html, 1.249
433.html, 0.061
434.html, 0.073
435.html, 0.073
436.html, 0.037
437.html, 0.069
249.html, 0.104
298.html, 0.162
304.html, 0.099
308.html, 0.149
323.html, 0.181
352.html, 0.678
299.html, 3.499
001.html, 0.113
399.html, 0.352
400.html, 0.357
402.html, 0.345
404.html, 0.342
406.html, 0.342
416.html, 0.114
418.html, 0.115
421.html, 0.113
425.html, 0.113
318.html, 0.414
321.html, 1.215
346.html, 0.057
376.html, 0.061
318.html, 0.827
321.html, 1.215
001.html, 0.225
408.html, 0.352
421.html, 0.226
425.html, 0.227
427.html, 0.653
436.html, 0.093
433.html, 0.061
339.html, 0.132
358.html, 0.258
371.html, 0.312
371.html, 0.312
371.html, 0.156
373.html, 0.122
433.html, 0.015
434.html, 0.018
436.html, 0.023
437.html, 0.022
360.html, 0.118
462.html, 0.380
360.html, 0.236
252.html, 0.525
254.html, 1.759
461.html, 1.242
332.html, 1.996
007.html, 0.016
011.html, 0.042
029.html, 0.289
043.html, 0.016
101.html, 0.035
133.html, 0.059
146.html, 0.055
164.html, 0.097
181.html, 0.069
189.html, 0.024
205.html, 0.056
233.html, 0.030
243.html, 0.018
245.html, 0.060
247.html, 0.054
260.html, 0.021
267.html, 0.031
280.html, 0.021
281.html, 0.022
282.html, 0.013
306.html, 0.063
333.html, 0.024
334.html, 0.032
344.html, 0.007
346.html, 0.006
377.html, 0.007
382.html, 0.072
433.html, 0.002
434.html, 0.002
445.html, 0.036
453.html, 0.117
454.html, 0.149
461.html, 0.065
463.html, 0.098
466.html, 0.062
469.html, 0.090
478.html, 0.161
484.html, 0.208
008.html, 1.484
282.html, 0.164
298.html, 0.135
002.html, 0.006
007.html, 0.040
010.html, 0.027
016.html, 0.026
019.html, 0.004
022.html, 0.008
027.html, 0.124
037.html, 0.019
042.html, 0.017
043.html, 0.019
044.html, 0.018
053.html, 0.122
058.html, 0.036
060.html, 0.025
062.html, 0.077
070.html, 0.027
074.html, 0.018
086.html, 0.027
101.html, 0.032
105.html, 0.015
118.html, 0.006
131.html, 0.053
133.html, 0.018
137.html, 0.066
146.html, 0.051
150.html, 0.014
154.html, 0.068
159.html, 0.018
161.html, 0.017
162.html, 0.047
166.html, 0.053
178.html, 0.033
181.html, 0.063
185.html, 0.039
189.html, 0.029
192.html, 0.075
195.html, 0.028
204.html, 0.037
212.html, 0.046
230.html, 0.085
232.html, 0.017
234.html, 0.006
235.html, 0.027
240.html, 0.022
242.html, 0.021
243.html, 0.027
244.html, 0.009
245.html, 0.018
246.html, 0.039
247.html, 0.008
249.html, 0.012
250.html, 0.013
252.html, 0.008
256.html, 0.023
258.html, 0.016
264.html, 0.030
266.html, 0.009
267.html, 0.019
269.html, 0.012
271.html, 0.020
272.html, 0.008
277.html, 0.009
278.html, 0.014
279.html, 0.005
281.html, 0.007
282.html, 0.004
284.html, 0.030
288.html, 0.028
289.html, 0.019
291.html, 0.090
292.html, 0.019
293.html, 0.043
296.html, 0.026
298.html, 0.006
299.html, 0.007
303.html, 0.004
304.html, 0.008
307.html, 0.004
308.html, 0.006
309.html, 0.004
311.html, 0.025
313.html, 0.014
314.html, 0.058
316.html, 0.035
318.html, 0.013
321.html, 0.019
325.html, 0.022
326.html, 0.016
328.html, 0.017
329.html, 0.013
330.html, 0.016
331.html, 0.021
332.html, 0.016
333.html, 0.007
335.html, 0.011
339.html, 0.002
342.html, 0.002
345.html, 0.002
346.html, 0.002
351.html, 0.002
360.html, 0.002
361.html, 0.002
369.html, 0.002
375.html, 0.004
376.html, 0.002
378.html, 0.038
380.html, 0.006
381.html, 0.070
382.html, 0.038
383.html, 0.019
384.html, 0.065
385.html, 0.007
388.html, 0.008
390.html, 0.022
392.html, 0.033
393.html, 0.020
397.html, 0.019
408.html, 0.014
419.html, 0.015
426.html, 0.013
427.html, 0.013
428.html, 0.039
445.html, 0.011
446.html, 0.026
501.html, 0.014
181.html, 0.437
146.html, 1.052
223.html, 0.708
096.html, 5.186
204.html, 4.615
007.html, 0.078
029.html, 0.206
152.html, 0.034
256.html, 0.088
264.html, 0.117
266.html, 0.072
269.html, 0.045
281.html, 0.051
287.html, 0.058
289.html, 0.030
335.html, 0.085
364.html, 0.012
378.html, 0.099
381.html, 0.039
392.html, 0.052
459.html, 0.169
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
337.html, 0.230
370.html, 0.112
007.html, 0.023
008.html, 0.081
010.html, 0.062
034.html, 0.025
043.html, 0.004
058.html, 0.041
070.html, 0.062
154.html, 0.031
159.html, 0.042
169.html, 0.152
181.html, 0.008
184.html, 0.067
189.html, 0.017
215.html, 0.151
223.html, 0.155
234.html, 0.013
235.html, 0.020
236.html, 0.028
241.html, 0.040
249.html, 0.028
252.html, 0.019
260.html, 0.014
263.html, 0.051
272.html, 0.018
273.html, 0.036
279.html, 0.011
280.html, 0.015
282.html, 0.009
289.html, 0.035
290.html, 0.026
292.html, 0.029
295.html, 0.030
304.html, 0.009
308.html, 0.027
323.html, 0.016
325.html, 0.033
326.html, 0.019
329.html, 0.120
331.html, 0.023
333.html, 0.016
339.html, 0.005
342.html, 0.013
347.html, 0.005
351.html, 0.004
361.html, 0.013
364.html, 0.004
381.html, 0.046
388.html, 0.018
392.html, 0.045
397.html, 0.028
433.html, 0.001
434.html, 0.001
435.html, 0.001
436.html, 0.002
437.html, 0.003
043.html, 0.025
118.html, 0.088
279.html, 0.146
287.html, 0.116
298.html, 0.051
307.html, 0.067
333.html, 0.057
394.html, 0.133
249.html, 0.260
394.html, 1.063
436.html, 0.093
007.html, 0.310
047.html, 0.938
277.html, 0.268
351.html, 0.049
360.html, 0.059
370.html, 0.056
007.html, 0.310
047.html, 1.877
007.html, 0.033
027.html, 0.029
040.html, 0.029
043.html, 0.007
059.html, 0.173
118.html, 0.013
119.html, 0.020
124.html, 0.040
137.html, 0.012
146.html, 0.038
154.html, 0.030
156.html, 0.015
160.html, 0.049
177.html, 0.099
181.html, 0.008
189.html, 0.016
207.html, 0.035
235.html, 0.020
239.html, 0.032
245.html, 0.041
249.html, 0.019
252.html, 0.019
256.html, 0.050
258.html, 0.018
262.html, 0.042
266.html, 0.021
269.html, 0.026
276.html, 0.043
277.html, 0.019
278.html, 0.062
280.html, 0.015
281.html, 0.015
282.html, 0.018
286.html, 0.021
287.html, 0.033
289.html, 0.009
294.html, 0.127
298.html, 0.007
299.html, 0.016
303.html, 0.028
325.html, 0.066
328.html, 0.019
340.html, 0.005
349.html, 0.009
351.html, 0.004
363.html, 0.005
368.html, 0.005
379.html, 0.022
380.html, 0.013
381.html, 0.045
383.html, 0.021
384.html, 0.041
385.html, 0.015
390.html, 0.025
392.html, 0.015
394.html, 0.019
433.html, 0.061
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
050.html, 2.883
005.html, 0.613
436.html, 0.093
303.html, 0.525
376.html, 0.243
346.html, 0.228
340.html, 0.259
129.html, 0.906
433.html, 0.012
434.html, 0.029
435.html, 0.029
436.html, 0.019
043.html, 0.804
043.html, 0.201
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
001.html, 0.225
416.html, 0.229
418.html, 0.229
421.html, 0.226
425.html, 0.227
001.html, 0.102
114.html, 0.274
416.html, 0.104
418.html, 0.104
421.html, 0.103
425.html, 0.103
433.html, 0.006
434.html, 0.007
435.html, 0.007
436.html, 0.008
437.html, 0.008
009.html, 0.149
302.html, 0.426
303.html, 0.088
307.html, 0.090
437.html, 0.014
453.html, 0.369
298.html, 0.404
239.html, 0.449
381.html, 0.157
392.html, 0.207
397.html, 0.196
118.html, 0.352
307.html, 0.269
138.html, 5.133
285.html, 3.048
007.html, 0.621
298.html, 0.404
434.html, 0.036
435.html, 0.037
316.html, 2.187
346.html, 0.228
359.html, 0.121
360.html, 0.118
340.html, 0.259
359.html, 0.121
344.html, 0.125
374.html, 0.353
352.html, 0.339
375.html, 0.128
351.html, 0.066
352.html, 0.113
367.html, 0.109
005.html, 0.613
105.html, 0.964
161.html, 0.544
289.html, 0.121
397.html, 0.196
054.html, 0.588
064.html, 0.215
189.html, 0.101
280.html, 0.091
380.html, 1.146
382.html, 0.076
383.html, 0.193
385.html, 0.759
397.html, 0.087
338.html, 0.040
342.html, 0.022
344.html, 0.023
345.html, 0.024
346.html, 0.021
347.html, 0.025
350.html, 0.151
353.html, 0.029
362.html, 0.028
366.html, 0.119
368.html, 0.025
006.html, 3.118
019.html, 0.023
043.html, 0.018
118.html, 0.032
150.html, 0.077
235.html, 0.050
279.html, 0.106
281.html, 0.149
282.html, 0.022
283.html, 0.157
284.html, 0.057
289.html, 0.022
298.html, 0.018
303.html, 0.024
307.html, 0.024
311.html, 0.048
331.html, 0.058
333.html, 0.021
348.html, 0.012
359.html, 0.011
363.html, 0.013
501.html, 0.082
006.html, 22.864
234.html, 0.122
279.html, 0.097
285.html, 0.254
304.html, 0.082
322.html, 0.371
376.html, 0.041
152.html, 0.540
358.html, 0.517
437.html, 0.086
401.html, 0.106
403.html, 0.104
405.html, 0.104
409.html, 0.311
411.html, 0.320
413.html, 0.320
415.html, 0.309
417.html, 0.309
417.html, 0.309
422.html, 0.311
424.html, 0.313
344.html, 0.125
377.html, 0.127
063.html, 24.738
398.html, 0.197
401.html, 0.194
403.html, 0.191
405.html, 0.191
407.html, 0.190
410.html, 0.192
434.html, 0.073
435.html, 0.073
242.html, 1.334
434.html, 0.073
436.html, 0.047
005.html, 0.102
433.html, 0.061
434.html, 0.060
435.html, 0.086
436.html, 0.016
437.html, 0.029
017.html, 0.395
030.html, 0.371
031.html, 0.318
040.html, 0.205
043.html, 0.025
096.html, 0.216
124.html, 0.094
137.html, 0.029
167.html, 2.096
175.html, 0.272
177.html, 1.152
187.html, 0.259
197.html, 0.064
207.html, 0.082
208.html, 0.137
217.html, 0.873
227.html, 2.466
237.html, 0.085
258.html, 0.043
266.html, 0.096
285.html, 0.127
331.html, 0.027
335.html, 0.057
433.html, 0.003
433.html, 0.061
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
269.html, 1.452
399.html, 0.391
400.html, 0.396
402.html, 0.383
404.html, 0.380
406.html, 0.380
409.html, 0.380
411.html, 0.391
430.html, 0.380
432.html, 0.378
482.html, 15.719
189.html, 0.908
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.031
434.html, 0.018
435.html, 0.018
436.html, 0.023
305.html, 3.869
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.031
434.html, 0.073
030.html, 2.226
351.html, 0.098
433.html, 0.031
434.html, 0.036
435.html, 0.073
345.html, 0.389
346.html, 0.228
340.html, 0.259
351.html, 0.098
341.html, 0.266
352.html, 0.339
348.html, 0.255
336.html, 0.549
364.html, 0.097
340.html, 0.259
484.html, 2.634
433.html, 0.061
362.html, 0.155
365.html, 0.114
365.html, 0.229
019.html, 0.051
082.html, 0.235
355.html, 0.049
368.html, 0.028
377.html, 0.025
433.html, 0.012
434.html, 0.007
435.html, 0.007
436.html, 0.009
437.html, 0.009
367.html, 0.327
354.html, 0.255
354.html, 0.255
354.html, 0.255
433.html, 0.061
434.html, 0.018
435.html, 0.018
436.html, 0.023
437.html, 0.022
436.html, 0.187
354.html, 0.085
433.html, 0.031
434.html, 0.012
435.html, 0.024
436.html, 0.016
437.html, 0.029
435.html, 0.073
435.html, 0.073
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
433.html, 0.020
435.html, 0.024
436.html, 0.031
433.html, 0.061
433.html, 0.015
434.html, 0.054
435.html, 0.018
436.html, 0.047
223.html, 1.417
433.html, 0.020
434.html, 0.024
435.html, 0.024
434.html, 0.024
435.html, 0.024
437.html, 0.029
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
434.html, 0.036
435.html, 0.037
435.html, 0.037
437.html, 0.043
433.html, 0.031
437.html, 0.043
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.061
433.html, 0.061
433.html, 0.031
434.html, 0.036
433.html, 0.061
433.html, 0.025
434.html, 0.015
435.html, 0.044
436.html, 0.019
437.html, 0.017
437.html, 0.086
181.html, 1.310
433.html, 0.061
437.html, 0.043
433.html, 0.061
436.html, 0.093
370.html, 0.224
433.html, 0.061
433.html, 0.020
434.html, 0.024
435.html, 0.024
433.html, 0.031
434.html, 0.018
436.html, 0.023
437.html, 0.043
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.025
434.html, 0.015
435.html, 0.015
436.html, 0.037
437.html, 0.017
433.html, 0.025
434.html, 0.044
435.html, 0.029
436.html, 0.037
437.html, 0.017
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.061
433.html, 0.031
437.html, 0.043
433.html, 0.061
005.html, 0.409
433.html, 0.020
435.html, 0.024
435.html, 0.037
437.html, 0.043
433.html, 0.020
434.html, 0.024
435.html, 0.024
147.html, 2.241
434.html, 0.145
437.html, 0.086
435.html, 0.073
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
435.html, 0.037
436.html, 0.047
433.html, 0.061
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
375.html, 0.512
360.html, 0.118
370.html, 0.112
433.html, 0.031
434.html, 0.018
435.html, 0.018
437.html, 0.022
436.html, 0.093
433.html, 0.031
435.html, 0.037
005.html, 0.041
025.html, 2.286
043.html, 0.027
118.html, 0.047
185.html, 6.246
195.html, 0.233
199.html, 0.450
205.html, 0.143
209.html, 0.422
215.html, 0.184
229.html, 0.245
237.html, 0.272
307.html, 0.036
333.html, 0.030
436.html, 0.006
043.html, 0.029
179.html, 0.105
189.html, 0.130
237.html, 0.873
433.html, 0.009
434.html, 0.010
435.html, 0.010
433.html, 0.020
434.html, 0.048
435.html, 0.024
104.html, 5.030
372.html, 0.271
009.html, 0.893
009.html, 1.787
360.html, 0.039
399.html, 0.586
400.html, 0.595
402.html, 0.574
430.html, 0.570
432.html, 0.566
338.html, 0.055
342.html, 0.062
355.html, 0.062
374.html, 0.088
040.html, 1.315
086.html, 0.680
121.html, 1.417
152.html, 0.108
315.html, 0.231
234.html, 0.733
040.html, 2.466
086.html, 5.098
034.html, 0.452
434.html, 0.024
437.html, 0.029
034.html, 1.356
137.html, 0.053
189.html, 0.070
226.html, 0.148
289.html, 0.037
299.html, 0.067
309.html, 0.039
333.html, 0.070
365.html, 0.018
433.html, 0.005
434.html, 0.006
435.html, 0.006
436.html, 0.007
437.html, 0.007
349.html, 0.485
242.html, 0.133
281.html, 0.082
398.html, 0.118
401.html, 0.232
403.html, 0.229
405.html, 0.230
407.html, 0.228
410.html, 0.230
412.html, 0.116
414.html, 0.115
043.html, 0.201
433.html, 0.061
304.html, 0.494
189.html, 0.303
309.html, 0.169
453.html, 0.739
453.html, 8.863
022.html, 0.965
137.html, 0.229
384.html, 0.387
005.html, 0.307
323.html, 0.453
050.html, 0.288
298.html, 0.081
364.html, 0.039
376.html, 0.049
380.html, 0.147
019.html, 0.218
028.html, 0.232
043.html, 0.029
052.html, 0.380
105.html, 0.551
202.html, 0.566
376.html, 0.035
174.html, 1.004
202.html, 1.320
215.html, 0.921
372.html, 0.271
321.html, 1.215
322.html, 2.226
308.html, 0.747
433.html, 0.061
433.html, 0.061
433.html, 0.061
066.html, 0.427
103.html, 1.927
146.html, 0.351
043.html, 0.022
066.html, 0.711
301.html, 0.124
307.html, 0.239
309.html, 0.113
323.html, 0.705
325.html, 0.102
326.html, 0.113
394.html, 0.118
434.html, 0.073
346.html, 0.228
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
353.html, 0.314
322.html, 4.451
343.html, 0.322
363.html, 0.278
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
323.html, 0.906
434.html, 0.024
437.html, 0.029
304.html, 0.494
303.html, 0.263
304.html, 0.370
307.html, 0.067
308.html, 0.280
309.html, 0.127
433.html, 0.008
434.html, 0.009
435.html, 0.009
434.html, 0.048
435.html, 0.024
437.html, 0.029
352.html, 0.339
343.html, 0.107
368.html, 0.093
373.html, 0.081
363.html, 0.278
347.html, 0.276
352.html, 0.068
360.html, 0.047
368.html, 0.056
370.html, 0.045
373.html, 0.049
350.html, 1.666
358.html, 0.086
365.html, 0.076
377.html, 0.084
372.html, 0.271
341.html, 0.266
348.html, 0.255
365.html, 0.114
372.html, 0.136
336.html, 0.549
365.html, 0.114
343.html, 0.322
353.html, 0.157
363.html, 0.139
118.html, 0.470
307.html, 0.179
363.html, 0.093
289.html, 0.483
001.html, 0.102
401.html, 0.106
403.html, 0.104
405.html, 0.104
407.html, 0.103
410.html, 0.105
412.html, 0.105
414.html, 0.104
416.html, 0.104
418.html, 0.104
421.html, 0.103
022.html, 0.965
202.html, 3.961
222.html, 0.592
197.html, 3.076
364.html, 0.194
360.html, 0.236
343.html, 0.322
375.html, 0.256
369.html, 0.239
027.html, 0.533
105.html, 1.927
017.html, 9.491
005.html, 0.153
042.html, 0.517
434.html, 0.018
452.html, 3.399
298.html, 0.404
301.html, 0.559
433.html, 0.061
009.html, 0.893
191.html, 19.346
434.html, 0.073
337.html, 0.461
029.html, 1.098
340.html, 0.259
372.html, 0.271
341.html, 0.266
373.html, 0.243
248.html, 0.918
280.html, 0.408
344.html, 0.250
338.html, 0.111
355.html, 0.124
351.html, 0.197
366.html, 1.313
338.html, 0.221
347.html, 0.276
375.html, 0.256
375.html, 0.256
318.html, 9.928
319.html, 1.699
338.html, 0.221
361.html, 0.245
348.html, 0.509
362.html, 0.310
340.html, 0.129
358.html, 0.129
365.html, 0.457
365.html, 0.229
337.html, 0.154
347.html, 0.092
376.html, 0.081
341.html, 0.266
376.html, 0.243
345.html, 0.259
341.html, 0.266
341.html, 0.266
341.html, 0.133
342.html, 0.123
367.html, 0.327
357.html, 0.581
340.html, 0.129
341.html, 0.133
343.html, 0.161
369.html, 0.119
374.html, 0.353
369.html, 0.239
354.html, 0.255
344.html, 0.250
355.html, 0.247
362.html, 0.310
358.html, 0.388
362.html, 0.155
344.html, 0.250
119.html, 0.379
429.html, 0.388
431.html, 0.383
009.html, 0.053
019.html, 0.030
026.html, 0.097
043.html, 0.012
098.html, 0.442
150.html, 0.100
282.html, 0.029
298.html, 0.024
340.html, 0.015
349.html, 0.029
358.html, 0.015
381.html, 0.037
382.html, 0.040
390.html, 0.082
392.html, 0.049
393.html, 0.049
500.html, 0.177
066.html, 1.280
043.html, 0.121
070.html, 0.684
187.html, 1.242
277.html, 0.214
369.html, 0.048
226.html, 0.960
333.html, 0.227
002.html, 0.043
044.html, 0.129
124.html, 0.132
156.html, 0.050
172.html, 0.241
179.html, 0.174
229.html, 0.216
252.html, 0.062
345.html, 0.015
349.html, 0.029
363.html, 0.033
383.html, 0.034
385.html, 0.050
388.html, 0.175
389.html, 0.053
395.html, 0.075
446.html, 0.097
342.html, 0.246
342.html, 0.246
364.html, 0.194
007.html, 0.014
062.html, 0.752
237.html, 0.045
241.html, 0.049
242.html, 0.030
245.html, 0.204
248.html, 0.041
249.html, 0.127
250.html, 0.279
252.html, 0.233
256.html, 0.094
258.html, 0.069
260.html, 0.017
266.html, 0.026
267.html, 0.026
269.html, 0.194
270.html, 0.084
272.html, 0.022
273.html, 0.044
276.html, 0.027
277.html, 0.024
279.html, 0.013
280.html, 0.254
283.html, 0.026
289.html, 0.032
292.html, 0.179
294.html, 0.079
295.html, 0.074
296.html, 0.142
298.html, 0.027
303.html, 0.023
304.html, 0.022
307.html, 0.012
308.html, 0.017
311.html, 0.047
315.html, 0.026
316.html, 0.049
323.html, 0.040
331.html, 0.014
340.html, 0.006
369.html, 0.005
380.html, 0.033
382.html, 0.061
383.html, 0.051
385.html, 0.038
062.html, 4.030
145.html, 0.660
244.html, 0.180
249.html, 0.260
269.html, 0.484
284.html, 0.209
146.html, 1.052
347.html, 0.276
362.html, 0.310
331.html, 0.642
366.html, 1.313
019.html, 0.254
423.html, 0.697
355.html, 0.247
337.html, 0.461
436.html, 0.093
363.html, 0.278
361.html, 0.122
435.html, 0.018
436.html, 0.023
437.html, 0.022
152.html, 0.540
364.html, 0.194
043.html, 0.167
137.html, 0.915
147.html, 0.187
161.html, 2.177
222.html, 0.197
353.html, 0.052
343.html, 0.161
354.html, 0.128
436.html, 0.093
345.html, 0.130
355.html, 0.124
344.html, 0.125
351.html, 0.098
043.html, 0.201
367.html, 0.327
343.html, 0.322
344.html, 0.250
360.html, 0.236
360.html, 0.236
348.html, 0.255
363.html, 0.278
365.html, 0.229
348.html, 0.255
350.html, 0.833
351.html, 0.098
341.html, 0.266
349.html, 0.485
337.html, 0.461
366.html, 1.313
371.html, 0.312
372.html, 0.271
341.html, 0.266
367.html, 0.327
375.html, 0.256
341.html, 0.266
340.html, 0.259
361.html, 0.245
336.html, 0.110
344.html, 0.025
347.html, 0.028
351.html, 0.020
352.html, 0.102
356.html, 0.062
366.html, 0.131
368.html, 0.028
374.html, 0.176
376.html, 0.024
353.html, 0.314
347.html, 0.276
351.html, 0.197
366.html, 1.313
350.html, 0.833
370.html, 0.112
346.html, 0.228
375.html, 0.256
374.html, 0.353
346.html, 0.228
355.html, 0.247
339.html, 0.263
346.html, 0.228
364.html, 0.194
361.html, 0.245
351.html, 0.197
339.html, 0.263
338.html, 0.028
346.html, 0.029
347.html, 0.034
352.html, 0.042
355.html, 0.031
368.html, 0.070
374.html, 0.221
376.html, 0.030
368.html, 0.279
341.html, 0.133
355.html, 0.124
338.html, 0.044
344.html, 0.050
346.html, 0.091
347.html, 0.055
349.html, 0.194
351.html, 0.098
368.html, 0.140
337.html, 0.154
352.html, 0.226
374.html, 0.118
358.html, 0.258
374.html, 0.353
354.html, 0.255
433.html, 0.061
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
376.html, 0.243
349.html, 0.485
368.html, 0.279
345.html, 0.086
355.html, 0.082
359.html, 0.081
160.html, 0.921
181.html, 0.073
354.html, 0.043
357.html, 0.097
371.html, 0.052
373.html, 0.081
339.html, 0.011
340.html, 0.011
343.html, 0.013
344.html, 0.010
345.html, 0.022
346.html, 0.019
347.html, 0.011
348.html, 0.011
349.html, 0.020
351.html, 0.025
352.html, 0.071
353.html, 0.013
355.html, 0.031
361.html, 0.041
362.html, 0.026
364.html, 0.016
365.html, 0.010
368.html, 0.035
369.html, 0.040
370.html, 0.009
372.html, 0.068
373.html, 0.091
374.html, 0.015
376.html, 0.010
369.html, 0.239
019.html, 0.051
340.html, 0.052
346.html, 0.046
347.html, 0.028
348.html, 0.025
351.html, 0.020
359.html, 0.097
362.html, 0.093
364.html, 0.019
376.html, 0.024
366.html, 1.313
360.html, 0.118
376.html, 0.122
357.html, 0.581
355.html, 0.124
362.html, 0.310
017.html, 9.491
429.html, 0.582
431.html, 0.574
340.html, 0.014
341.html, 0.028
342.html, 0.013
343.html, 0.017
346.html, 0.012
348.html, 0.027
349.html, 0.026
355.html, 0.026
356.html, 0.065
359.html, 0.013
360.html, 0.012
365.html, 0.024
367.html, 0.034
369.html, 0.013
370.html, 0.024
372.html, 0.014
373.html, 0.026
374.html, 0.037
375.html, 0.013
373.html, 0.243
341.html, 0.266
362.html, 0.310
353.html, 0.063
360.html, 0.047
365.html, 0.046
370.html, 0.045
374.html, 0.282
361.html, 0.245
362.html, 0.103
364.html, 0.065
372.html, 0.090
372.html, 0.271
374.html, 0.353
336.html, 1.098
337.html, 0.461
364.html, 0.194
374.html, 0.353
368.html, 0.279
369.html, 0.239
376.html, 0.243
355.html, 0.247
351.html, 0.197
346.html, 0.114
365.html, 0.114
336.html, 0.549
365.html, 0.114
355.html, 0.494
350.html, 1.666
346.html, 0.228
350.html, 1.666
355.html, 0.494
341.html, 0.266
351.html, 0.197
362.html, 0.310
154.html, 0.847
279.html, 0.146
287.html, 0.232
445.html, 0.340
337.html, 0.019
338.html, 0.009
339.html, 0.011
342.html, 0.010
344.html, 0.010
345.html, 0.011
346.html, 0.010
347.html, 0.011
349.html, 0.020
351.html, 0.008
355.html, 0.010
358.html, 0.011
359.html, 0.010
360.html, 0.010
362.html, 0.013
364.html, 0.008
365.html, 0.010
368.html, 0.012
369.html, 0.010
370.html, 0.009
372.html, 0.011
374.html, 0.015
375.html, 0.011
377.html, 0.011
338.html, 0.074
360.html, 0.158
376.html, 0.081
375.html, 0.256
351.html, 0.394
437.html, 0.086
351.html, 0.197
283.html, 1.148
007.html, 0.048
156.html, 0.066
181.html, 0.034
283.html, 0.088
340.html, 0.020
349.html, 0.037
359.html, 0.019
367.html, 0.025
433.html, 0.005
434.html, 0.006
435.html, 0.006
436.html, 0.007
437.html, 0.007
342.html, 0.123
351.html, 0.098
345.html, 0.259
364.html, 0.290
365.html, 0.057
369.html, 0.179
351.html, 0.098
352.html, 0.169
342.html, 0.082
360.html, 0.158
367.html, 0.109
309.html, 0.507
027.html, 0.021
105.html, 0.077
197.html, 0.062
240.html, 0.056
267.html, 0.047
281.html, 0.099
282.html, 0.020
284.html, 0.100
292.html, 0.032
298.html, 0.016
303.html, 0.042
304.html, 0.039
311.html, 0.042
323.html, 0.181
325.html, 0.037
326.html, 0.081
328.html, 0.128
330.html, 0.160
331.html, 0.051
351.html, 0.008
378.html, 0.063
380.html, 0.029
381.html, 0.025
383.html, 0.046
397.html, 0.031
066.html, 0.053
232.html, 0.090
234.html, 0.031
267.html, 0.049
276.html, 0.050
277.html, 0.089
281.html, 0.068
287.html, 0.039
289.html, 0.020
298.html, 0.017
299.html, 0.036
